run,epoch,phase,image_name,ground_truth,prediction
1,1,train,second_gen_v_15_0.png,v,q
1,1,train,second_gen_p_8_z_90.png,p,q
1,1,train,second_gen_v_42_0.png,v,q
1,1,train,second_gen_q_92_z_90.png,q,q
1,1,train,second_gen_p_90_0.png,p,q
1,1,train,second_gen_v_8_0.png,v,q
1,1,train,second_gen_q_45_z_90.png,q,q
1,1,train,second_gen_v_8_z_90.png,v,q
1,1,train,second_gen_p_3_z_90.png,p,p
1,1,train,second_gen_v_86_0.png,v,v
1,1,train,second_gen_p_83_0.png,p,q
1,1,train,second_gen_q_83_0.png,q,q
1,1,train,second_gen_v_58_0.png,v,v
1,1,train,second_gen_p_18_0.png,p,p
1,1,train,second_gen_q_81_z_90.png,q,q
1,1,train,second_gen_v_42_z_90.png,v,v
1,1,train,second_gen_v_58_z_90.png,v,v
1,1,train,second_gen_p_4_0.png,p,p
1,1,train,second_gen_p_18_z_90.png,p,q
1,1,train,second_gen_q_70_z_90.png,q,q
1,1,train,second_gen_v_15_z_90.png,v,v
1,1,train,second_gen_q_92_0.png,q,q
1,1,train,second_gen_v_18_0.png,v,v
1,1,train,second_gen_p_4_z_90.png,p,p
1,1,train,second_gen_v_18_z_90.png,v,v
1,1,train,second_gen_p_90_z_90.png,p,p
1,1,train,second_gen_p_83_z_90.png,p,p
1,1,train,second_gen_q_81_0.png,q,q
1,1,train,second_gen_q_66_z_90.png,q,q
1,1,train,second_gen_p_3_0.png,p,p
1,1,train,second_gen_v_86_z_90.png,v,v
1,1,train,second_gen_q_70_0.png,q,v
1,1,train,second_gen_q_83_z_90.png,q,v
1,1,train,second_gen_p_8_0.png,p,p
1,1,train,second_gen_q_66_0.png,q,q
1,1,train,second_gen_q_45_0.png,q,p
1,1,test,second_gen_p_16_0.png,p,p
1,1,test,second_gen_p_16_x_-30.png,p,p
1,1,test,second_gen_p_16_x_-60.png,p,v
1,1,test,second_gen_p_16_x_30.png,p,p
1,1,test,second_gen_p_16_x_60.png,p,v
1,1,test,second_gen_p_16_z_-30.png,p,p
1,1,test,second_gen_p_16_z_-60.png,p,v
1,1,test,second_gen_p_16_z_30.png,p,p
1,1,test,second_gen_p_16_z_60.png,p,p
1,1,test,second_gen_p_3_x_-30.png,p,v
1,1,test,second_gen_p_3_x_-60.png,p,v
1,1,test,second_gen_p_3_x_30.png,p,v
1,1,test,second_gen_p_3_x_60.png,p,v
1,1,test,second_gen_p_3_z_-30.png,p,p
1,1,test,second_gen_p_3_z_-60.png,p,v
1,1,test,second_gen_p_3_z_30.png,p,p
1,1,test,second_gen_p_3_z_60.png,p,v
1,1,test,second_gen_q_56_0.png,q,v
1,1,test,second_gen_q_56_x_-30.png,q,v
1,1,test,second_gen_q_56_x_-60.png,q,v
1,1,test,second_gen_q_56_x_30.png,q,v
1,1,test,second_gen_q_56_x_60.png,q,v
1,1,test,second_gen_q_56_z_-30.png,q,v
1,1,test,second_gen_q_56_z_-60.png,q,v
1,1,test,second_gen_q_56_z_30.png,q,v
1,1,test,second_gen_q_56_z_60.png,q,v
1,1,test,second_gen_q_66_x_-30.png,q,v
1,1,test,second_gen_q_66_x_-60.png,q,p
1,1,test,second_gen_q_66_x_30.png,q,v
1,1,test,second_gen_q_66_x_60.png,q,v
1,1,test,second_gen_q_66_z_-30.png,q,v
1,1,test,second_gen_q_66_z_-60.png,q,v
1,1,test,second_gen_q_66_z_30.png,q,v
1,1,test,second_gen_q_66_z_60.png,q,v
1,1,test,second_gen_v_11_0.png,v,v
1,1,test,second_gen_v_11_x_-30.png,v,v
1,1,test,second_gen_v_11_x_-60.png,v,v
1,1,test,second_gen_v_11_x_30.png,v,v
1,1,test,second_gen_v_11_x_60.png,v,v
1,1,test,second_gen_v_11_z_-30.png,v,v
1,1,test,second_gen_v_11_z_-60.png,v,v
1,1,test,second_gen_v_11_z_30.png,v,v
1,1,test,second_gen_v_11_z_60.png,v,v
1,1,test,second_gen_v_86_x_-30.png,v,v
1,1,test,second_gen_v_86_x_-60.png,v,v
1,1,test,second_gen_v_86_x_30.png,v,v
1,1,test,second_gen_v_86_x_60.png,v,v
1,1,test,second_gen_v_86_z_-30.png,v,v
1,1,test,second_gen_v_86_z_-60.png,v,v
1,1,test,second_gen_v_86_z_30.png,v,v
1,1,test,second_gen_v_86_z_60.png,v,v
1,2,train,second_gen_p_90_z_90.png,p,p
1,2,train,second_gen_q_70_z_90.png,q,q
1,2,train,second_gen_p_3_0.png,p,p
1,2,train,second_gen_q_83_0.png,q,q
1,2,train,second_gen_q_81_0.png,q,q
1,2,train,second_gen_v_18_z_90.png,v,v
1,2,train,second_gen_q_70_0.png,q,q
1,2,train,second_gen_p_18_0.png,p,p
1,2,train,second_gen_p_3_z_90.png,p,p
1,2,train,second_gen_p_4_0.png,p,p
1,2,train,second_gen_q_92_z_90.png,q,q
1,2,train,second_gen_p_8_0.png,p,v
1,2,train,second_gen_v_42_z_90.png,v,v
1,2,train,second_gen_v_58_z_90.png,v,v
1,2,train,second_gen_q_92_0.png,q,q
1,2,train,second_gen_q_45_z_90.png,q,q
1,2,train,second_gen_v_86_z_90.png,v,v
1,2,train,second_gen_q_83_z_90.png,q,p
